show_id,date_added,release_year
s97,1-Dec-20,2014
s98,31-Dec-19,2003
s99,28-Aug-17,2015
s100,5-Jan-19,2016
s101,1-Aug-19,2009
s102,15-Jun-19,2018
s103,15-Dec-16,2015
s104,18-Apr-19,2016
s105,1-Jan-21,2011
s106,1-Oct-19,1989
s107,7-Jun-20,2020
s108,31-Jan-20,2020
s109,12-Jul-19,2019
s110,20-Nov-20,2019
s111,1-Feb-18,2017
s112,1-Oct-20,2018
s113,16-Aug-19,2019
s114,20-Dec-17,2017
s115,12-Jul-19,2019
s116,5-May-16,2015
s117,13-Jun-20,2019
s118,5-Jan-19,2017
s119,17-Mar-19,2014
s120,7-Dec-18,2018
s121,16-Mar-17,2014
s122,1-Dec-20,2004
s123,1-Jun-19,2011
s124,28-Sep-18,2012
s125,27-Apr-20,2019
s126,6-Apr-18,2018
s127,8-Feb-18,2017
s128,13-Dec-19,2019
s129,8-Sep-15,2015
s130,1-Nov-17,2014
s131,1-Nov-20,2019
s132,1-Sep-19,2017
s133,30-Jul-19,2019
s134,27-Oct-16,2016
s135,21-Dec-18,2018
s136,15-May-19,2018
s137,2-Aug-18,2011
s138,1-Jun-16,2016
s139,10-Aug-18,2018
s140,22-Dec-17,2017
s141,1-Jun-16,2016
s142,26-Mar-20,2020
s143,1-Mar-17,2016
s144,13-Aug-19,2019
s145,5-Mar-20,2016
s146,1-Jul-17,2011
s147,28-Oct-19,2019
s148,15-Oct-20,2020
s149,14-Feb-20,2017
s150,1-Dec-18,2011
s151,1-Apr-18,2016
s152,15-Jan-18,2016
s153,1-Sep-17,2017
s154,1-Jul-20,1977
s155,14-Dec-20,2020
s156,14-Apr-20,2018
s157,2-Oct-20,2016
s158,14-Oct-20,2020
s159,4-Nov-20,2018
s160,17-Nov-17,2017
s161,5-Dec-19,2019
s162,30-Nov-18,2018
s163,20-Dec-16,2016
s164,1-Jan-20,2004
s165,1-Dec-19,2019
s166,1-Nov-20,1971
s167,1-Apr-18,1993
s168,2-Nov-19,2014
s169,17-Jan-20,2020
s170,16-Oct-16,2015
s171,15-Dec-19,2016
s172,9-Dec-19,2019
s173,15-Nov-17,2016
s174,20-Apr-19,2018
s175,26-Jan-18,2018
s176,7-Jan-20,2017
s177,15-Jul-18,2012
s178,27-Nov-20,2020
s179,2-Oct-20,2020
s180,4-Aug-20,2020
s181,1-Jan-17,2013
s182,1-Nov-16,2015
s183,25-Dec-17,2017
s184,21-Feb-20,2013
s185,17-Sep-19,2019
s186,15-Feb-17,2015
s187,4-Nov-19,2011
s188,30-Apr-19,2019
s189,1-Sep-17,2017
s190,6-Jul-20,2019
s191,1-May-17,2016
s192,5-Mar-19,2017
s193,13-Apr-19,2019
s194,27-Aug-18,2018
s195,20-Mar-20,2020
s196,10-Nov-20,2006
s197,17-Apr-19,2014
s198,4-May-18,2018
s199,26-Oct-19,2019
s200,28-Dec-20,2020
s201,21-Sep-20,2020
s202,14-Mar-19,2007
s203,12-Mar-19,2010
s204,15-Oct-16,2016
s205,25-Apr-19,2012
s206,16-Jan-21,2016
s207,22-Jul-18,2014
s208,28-Apr-17,2014
s209,12-Jun-18,2017
s210,5-Nov-20,2020
s211,1-Dec-19,1998
s212,1-Sep-16,2015
s213,15-Apr-17,2015
s214,25-Sep-20,2020
s215,1-Jan-19,2012
s216,6-Jun-19,2013
s217,4-Oct-19,2016
s218,28-Aug-20,2011
s219,11-Nov-20,2020
s220,1-Nov-19,2019
s221,1-Nov-13,2011
s222,15-Oct-17,2016
s223,27-Feb-19,2015
s224,29-Apr-20,2020
s225,16-Mar-19,2011
s226,1-Jan-19,2019
s227,16-Jan-18,2009
s228,14-Feb-20,2020
s229,5-Jun-19,2016
s230,11-Nov-19,2009
s231,1-Apr-18,2017
s232,1-Aug-17,2015
s233,1-Oct-11,1988
s234,1-Dec-17,2017
s235,24-Jan-20,2019
s236,27-Jan-19,2018
s237,25-Oct-19,2015
s238,22-May-19,2019
s239,1-Dec-20,1996
s240,1-Jun-19,2019
s241,1-Jul-20,2012
s242,1-Jul-20,2016
s243,11-Dec-20,2020
s244,13-Dec-19,2016
s245,31-Mar-20,2020
s246,28-Dec-18,2018
s247,15-Nov-20,2017
s248,4-Dec-15,2015
s249,30-Jul-18,2018
s250,12-Nov-20,2008
s251,1-Jul-20,2002
s252,1-Nov-18,2008
s253,19-Feb-18,2017
s254,18-Jun-20,2020
s255,1-Oct-18,2017
s256,25-Sep-18,2018
s257,1-Nov-19,2015
s258,1-May-17,2016
s259,,2013
s260,15-Dec-17,2015
s261,9-Mar-18,2018
s262,1-Oct-20,2019
s263,20-Mar-19,2018
s264,4-Apr-18,2011
s265,15-May-18,2017
s266,1-Nov-18,2009
s267,1-Jan-18,2013
s268,1-Sep-17,1988
s269,15-Nov-18,2018
s270,1-Nov-18,2008
s271,10-Sep-20,2018
s272,31-Dec-19,2011
s273,22-Oct-17,2010
s274,1-Jun-17,1993
s275,1-Jan-18,2010
s276,31-Dec-19,2019
s277,1-Jul-20,2019
s278,1-May-17,2015
s279,1-Nov-18,2015
s280,1-Nov-18,2013
s281,19-Apr-19,2012
s282,15-Jan-19,2017
s283,15-Jan-19,2016
s284,1-May-18,2016
s285," August 4, 2017",2017
s286,18-Feb-16,2012
s287,1-Feb-19,2002
s288,16-Apr-19,2013
s289,25-Sep-19,2019
s290,22-Apr-20,2020
s291,7-May-19,2019
s292,25-Aug-16,2015
s293,3-Jun-17,2016
s294,1-Dec-18,2009
s295,19-Oct-18,2018
s296,1-Dec-16,2013
s297,1-Apr-19,2015
s298,1-Jan-19,2007
s299,1-Jun-20,2012
s300,29-Sep-18,2010
s301,11-May-20,2010
s302,25-Jan-18,2017
s303,1-Aug-20,2018
s304,1-Nov-19,2018
s305,1-Jul-20,2020
s306,18-Jun-19,2019
s307,30-Sep-18,2018
s308,23-Oct-18,2018
s309,1-Oct-11,1986
s310,12-Jun-20,2014
s311,1-Mar-18,2018
s312,15-Jan-19,2018
s313,18-Jul-17,2017
s314,20-Nov-19,2013
s315,1-Sep-20,2018
s316,31-Dec-19,2017
s317,23-Jun-15,2015
s318,15-Aug-18,2018
s319,7-May-20,2016
s320,10-Aug-18,2018
s321,3-Sep-20,2020
s322,28-Apr-16,2013
s323,31-Oct-20,2017
s324,9-Oct-19,2019
s325,24-Apr-20,2020
s326,24-May-19,2019
s327,27-May-19,2012
s328,30-Dec-18,2018
s329,19-Dec-19,2019
s330,22-Dec-20,2020
s331,15-Mar-20,2017
s332,13-Aug-20,2008
s333,7-Mar-18,2012
s334,1-Jul-17,2014
s335,31-Jan-19,2018
s336,12-Jul-19,2017
s337,14-Aug-17,2010
s338,1-Sep-18,2018
s339,10-Nov-18,2017
s340,20-Dec-19,2019
s341,15-Apr-17,2015
s342,27-Aug-20,2020
s343,20-Dec-18,2018
s344,1-Apr-20,1990
s345,16-Feb-18,2018
s346,1-Oct-18,2009
s347,31-Dec-19,2006
s348,1-Mar-18,2012
s349,30-Jan-20,2019
s350,28-Mar-19,2018
s351,12-Jul-19,2014
s352,17-Nov-20,2020
s353,23-Jan-20,2020
s354,15-Oct-17,2015
s355,1-Mar-18,2004
s356,15-May-18,2018
s357,5-Jul-20,2012
s358,10-Jan-20,2020
s359,25-Oct-20,2009
s360,13-Oct-17,2015
s361,27-Dec-16,2016
s362,1-May-18,2017
s363,25-Dec-20,2020
s364,1-Mar-20,2014
s365,31-Mar-20,2019
s366,3-Nov-17,2015
s367,12-Jan-21,2019
s368,15-Sep-18,2017
s369,27-Feb-20,2020
s370,6-Mar-20,2017
s371,4-Aug-17,2017
s372,5-Aug-19,2017
s373,31-Dec-20,2017
s374,31-Dec-19,2019
s375,1-Jul-17,2016
s376,10-Jan-18,2018
s377,18-Aug-18,2018
s378,16-Apr-20,2019
s379,23-Jan-20,2020
s380,8-Jun-18,2018
s381,13-Jun-20,2020
s382,18-Jun-20,1979
s383,18-Jun-20,1989
s384,20-Mar-19,2019
s385,12-May-20,2019
s386,1-Jul-20,2015
s387,6-May-16,2016
s388,13-May-18,2018
s389,8-Jun-18,2018
s390,3-Nov-17,2017
s391,1-Sep-17,2017
s392,15-Jan-18,1980
s393,1-Jul-19,1974
s394,10-Dec-20,2020
s395,23-Oct-20,2019
s396,9-Jan-18,2017
s397,21-Aug-20,2020
s398,5-Apr-19,2019
s399,2-Dec-20,2020
s400,20-Nov-20,2020
s401,6-Mar-18,2018
s402,10-Aug-17,2016
s403,6-Mar-20,2017
s404,18-Mar-19,2018
s405,10-Aug-18,2018
s406,17-Mar-20,2019
s407,1-Oct-20,2020
s408,1-May-20,2020
s409,1-Jun-20,1989
s410,26-Jun-20,2020
s411,30-Jul-19,2019
s412,1-Dec-17,2017
s413,12-May-17,2017
s414,1-Aug-17,2016
s415,3-May-19,2019
s416,2-Feb-19,2018
s417,11-Jan-19,2017
s418,3-Jul-18,2006
s419,28-Feb-20,2020
s420,15-May-19,2018
s421,3-Jan-20,2020
s422,19-Apr-18,2017
s423,29-Aug-20,2020
s424,9-Nov-18,2009
s425,6-Jun-19,2019
s426,18-Mar-20,2017
s427,2-May-20,2020
s428,2-Aug-20,2020
s429,2-Jun-20,2019
s430,15-Feb-19,2016
s431,5-Nov-20,2019
s432,1-Oct-19,2001
s433,1-Oct-19,2013
s434,1-Jan-20,2014
s435,25-May-20,2014
s436,1-Jan-18,2017
s437,28-Jan-19,2018
s438,27-Feb-20,2020
s439,19-Mar-20,2020
s440,3-Mar-20,2019
s441,28-Feb-20,2019
s442,1-Sep-20,2016
s443,30-Sep-16,2016
s444,28-Sep-20,2002
s445,15-Jul-17,2017
s446,20-Jun-17,2015
s447,31-Dec-19,1977
s448,26-Apr-19,2011
s449,6-Apr-18,2018
s450,20-Jul-18,2018
s451,1-Jun-17,2017
s452,15-Sep-19,2014
s453,15-Nov-20,2013
s454,23-Jun-17,2016
s455,31-Jan-20,2017
s456,1-Jan-20,1999
s457,16-Dec-18,2017
s458,30-May-17,2017
s459,6-Mar-19,2016
s460,19-Apr-17,2017
s461,2-May-19,2018
s462,1-May-19,2018
s463,21-Aug-19,2019
s464,5-Sep-19,2019
s465,30-Jul-19,2019
s466,23-Oct-19,2014
s467,1-Nov-19,1998
s468,27-Apr-19,2016
s469,13-Nov-20,2019
s470,1-Apr-19,2018
s471,30-Sep-20,2020
s472,5-Apr-16,2015
s473,6-Oct-20,2020
s474,1-Sep-19,2000
s475,1-Nov-19,2019
s476,14-Sep-18,2018
s477,13-Sep-19,2019
s478,28-Feb-20,2019
s479,9-Apr-18,2017
s480,15-Feb-19,2017
s481,1-Jul-17,1966
s482,26-Jul-18,2015
s483,19-Mar-19,2019
s484,7-Mar-17,2017
s485,1-Jan-17,2013
s486,1-Apr-18,1986
s487,1-Apr-18,1991
s488,1-Apr-18,1999
s489,1-Apr-18,2000
s490,13-Aug-20,2019
s491,18-Jun-20,1982
s492,17-Jun-20,2018
s493,26-Apr-19,2012
s494,13-Jan-21,2017
s495,1-Jan-17,2012
s496,1-Mar-19,2018
s497,1-Oct-20,2017
s498,17-Dec-20,2020
s499,20-Jun-19,2014
s500,2-Nov-18,2018
s501,17-Sep-20,2014
s502,1-Aug-17,2017
s503,15-Feb-19,2017
s504,20-May-20,2010
s505,17-Sep-19,2018
s506,4-Jan-19,2018
s507,2-Jun-20,2008
s508,11-May-20,1994
s509,16-Dec-18,2018
s510,24-Nov-20,2020
s511,24-Nov-20,2020
s512,8-Dec-20,2020
s513,5-Aug-20,2020
s514,30-Dec-18,2015
s515,1-Jul-18,2017
s516,30-Apr-19,2014
s517,15-Jul-19,2010
s518,5-Sep-20,2001
s519,4-Apr-20,2019
s520,30-Nov-18,2018
s521,1-Dec-20,2020
s522,1-Dec-20,2009
s523,1-Nov-19,2003
s524,16-Mar-19,2018
s525,14-Mar-17,2015
s526,5-Mar-20,2020
s527,10-Sep-20,2018
s528,27-Jun-19,2019
s529,24-Jul-20,2020
s530,28-Sep-18,2018
s531,25-Jan-19,2018
s532,16-Dec-20,2020
s533,1-Oct-18,2014
s534,15-Dec-18,2018
s535,1-May-18,2018
s536,2-Oct-15,2015
s537,28-Sep-20,2013
s538,15-Oct-17,2013
s539,1-Aug-17,2016
s540,3-Jan-20,2019
s541,15-Jul-19,2011
s542,4-May-18,2018
s543,21-Mar-17,2016
s544,25-Jul-19,2019
s545,16-Oct-19,2016
s546,27-Jun-19,2019
s547,29-Jan-19,2018
s548,9-May-19,2017
s549,18-Jun-19,2018
s550,,2018
s551,30-Apr-19,2019
s552,16-Oct-15,2015
s553,1-Jul-18,2006
s554,14-Apr-19,2018
s555,21-Mar-19,2019
s556,31-Dec-19,2007
s557," December 23, 2018",2012
s558,1-Nov-19,2017
s559,16-Aug-19,2019
s560,8-Sep-17,2016
s561,8-Jan-21,2005
s562,1-Aug-16,2016
s563,9-Mar-19,2011
s564,12-Oct-18,2018
s565,1-Oct-17,2015
s566,16-Jun-17,2016
s567,23-May-17,2016
s568,15-Feb-17,2015
s569,17-Jan-18,2018
s570,31-Dec-19,2019
s571,20-Mar-20,2020
s572,4-May-20,2019
s573,14-Apr-17,2016
s574,1-Aug-19,2018
s575,1-Dec-20,2014
s576,17-Jan-20,2020
s577,22-Nov-17,2017
s578,2-Dec-20,2020
s579,18-Jul-17,2017
s580,21-Dec-20,2020
s581,15-Sep-18,2011
s582,1-Nov-18,2011
s583,16-Sep-16,2016
s584,29-May-18,2019
s585,5-Feb-20,2019
s586,29-Oct-19,2019
s587,2-Jun-19,2019
s588,1-Apr-19,2011
s589,1-Jan-20,2011
s590,6-Sep-19,2019
s591,1-Jan-20,2018
s592,16-Sep-18,2014
s593,1-Jan-20,1997
s594,19-Dec-18,2018
s595,1-Nov-18,2018
s596,29-Apr-19,2018
s597,16-Dec-18,2018
s598,19-Oct-18,2017
s599,2-Aug-19,2019
s600,15-Mar-17,2001
s601,11-Dec-16,2016
s602,2-Jan-21,2020
s603,25-Oct-19,2019
s604,6-Dec-19,2019
s605,1-Dec-16,2015
s606,13-Jun-20,2020
s607,15-Feb-18,2016
s608,14-Dec-16,2016
s609,27-Dec-18,2018
s610,15-Nov-19,2003
s611,1-Dec-15,2015
s612,24-Jun-20,2020
s613,29-Nov-19,2019
s614,19-Dec-20,2012
s615,5-Sep-18,2012
s616,1-Dec-17,2016
s617,24-Feb-19,2013
s618,15-May-16,2014
s619,19-Aug-18,2016
s620,1-Nov-19,2019
s621,23-Sep-16,2016
s622,11-Nov-20,2020
s623,4-Mar-20,2010
s624,19-Jan-19,1994
s625,1-Aug-17,2016
s626,1-Dec-19,2002
s627,1-Dec-19,1997
s628,1-Dec-19,1999
s629,1-Jan-17,2016
s630,8-Sep-17,2014
s631,1-Aug-16,2009
s632,7-Dec-20,2020
s633,15-May-20,2007
s634,3-Sep-20,2018
s635,17-Sep-19,2019
s636,25-Dec-18,2018
s637,28-Dec-18,2017
s638,2-Feb-19,2018
s639,24-Nov-19,2019
s640,14-Jun-19,2019
s641,4-Sep-20,2020
s642,8-May-19,2015
s643,15-Feb-19,2018
s644,12-Jun-20,2020
s645,15-Feb-19,2017
s646,1-Dec-18,2018
s647,7-Feb-20,2018
s648,12-Apr-19,2016
s649,6-Mar-15,2015
s650,1-Nov-13,2013
s651,9-Jul-19,2019
s652,2-Mar-18,2018
s653,7-Jun-18,2013
s654,1-Jun-18,2017
s655,16-Oct-17,2017
s656,4-Aug-18,2016
s657,7-Aug-17,2017
s658,7-Aug-17,2017
s659,7-Aug-17,2017
s660,24-Oct-18,2015
s661,7-Aug-17,2015
s662,7-Aug-17,2015
s663,7-Aug-17,2015
s664,13-Jan-19,2018
s665,30-Apr-18,2005
s666,17-Apr-20,2018
s667,1-Jan-19,2006
s668,19-Jun-20,2020
s669,16-Sep-20,2020
s670,10-Jul-18,2018
s671,1-Dec-19,2019
s672,13-Mar-20,2018
s673,1-Mar-20,2020
s674,1-Mar-18,2016
s675,5-Jan-17,2016
s676,21-Dec-19,2019
s677,12-Dec-18,2018
s678,1-Dec-16,2016
s679,30-Aug-19,2019
s680,1-Jan-19,2015
s681,11-Jan-19,2018
s682,30-Mar-17,2014
s683,14-May-19,2019
s684,5-Apr-19,2019
s685,25-Dec-18,2015
s686,31-May-19,2019
s687,5-Oct-20,2020
s688,1-Oct-19,1995
s689,1-Oct-19,2003
s690,18-Jan-18,2017
s691," December 15, 2018",2014
s692,1-Jun-18,2017
s693,1-Jan-21,2014
s694,8-Aug-19,2014
s695,8-Mar-18,2018
s696,11-Mar-18,2017
s697,21-Aug-17,2016
s698,21-Dec-18,2018
s699,1-Apr-17,2013
s700,1-Jan-18,2006
s701,7-Aug-19,2019
s702,26-Mar-20,2019
s703,22-Aug-20,2019
s704,4-Jun-20,2020
s705,6-Nov-20,2020
s706,6-Nov-20,2018
s707,31-Mar-20,2019
s708,1-Apr-17,2016
s709,1-Apr-18,1995
s710,1-Apr-18,2001
s711,1-Apr-18,2004
s712,1-Mar-18,2017
s713,10-Mar-17,2015
s714,6-Dec-19,2017
s715,26-Jul-20,2020
s716,12-Apr-19,2017
s717,15-Apr-16,2015
s718,1-Nov-17,1978
s719,25-Jul-18,2010
s720,15-Dec-19,2015
s721,4-Jun-18,2016
s722,20-Nov-19,2019
s723,14-Sep-18,2002
s724,8-Mar-19,2018
s725,31-Jul-19,2018
s726,2-Jul-19,2019
s727,2-Jul-19,2019
s728,5-Sep-18,2009
s729,1-Sep-18,2015
s730,31-Dec-19,2009
s731,12-Oct-17,2016
s732,23-Oct-20,2020
s733,15-Aug-17,2017
s734,1-Oct-17,2013
s735,18-Sep-17,2017
s736,14-Feb-19,2018
s737,21-Mar-20,2020
s738,1-Oct-17,2010
s739,1-Oct-17,2015
s740,1-Oct-17,2015
s741,1-Jul-17,2012
s742,1-Sep-20,2020
s743,1-Oct-17,2016
s744,1-Oct-17,2010
s745,1-Oct-17,2011
s746,1-Oct-17,2016
s747,1-Oct-17,2012
s748,1-Oct-17,2017
s749,22-Nov-17,2017
s750,14-Mar-19,2016
s751,27-Sep-19,2019
s752,21-Aug-18,2017
s753,26-Jul-18,2015
s754,1-Nov-18,2012
s755,19-Aug-18,2013
s756,16-Dec-16,2016
s757,1-Apr-18,1995
s758,1-Nov-18,1998
s759,1-Oct-20,1992
s760,2-Aug-19,2019
s761,31-Dec-17,2016
s762,20-Feb-18,2017
s763,1-Oct-18,2016
s764,9-May-19,2018
s765,15-Oct-20,2016
s766,1-Dec-18,2018
s767,31-Dec-15,2015
s768,1-Mar-18,2018
s769,1-Aug-16,2016
s770,21-Sep-18,2018
s771,31-Dec-19,1972
s772,30-Sep-20,2019
s773,29-Mar-19,2019
s774,31-Dec-19,1982
s775,5-Jul-20,2011
s776,28-Feb-17,2015
s777,20-Nov-19,2016
s778,1-Oct-16,2015
s779,1-Oct-16,2015
s780,29-Aug-18,2018
s781,1-Mar-17,2013
s782,1-Aug-18,1997
s783,1-Mar-17,2013
s784,1-Feb-19,2010
s785,13-Mar-20,2019
s786,16-Oct-15,2015
s787,21-Jul-19,2018
s788,21-Nov-17,2017
s789,22-May-17,2015
s790,19-Jun-19,2019
s791,25-Nov-16,2016
s792,19-Sep-16,2016
s793,27-Feb-19,2015
s794,23-Apr-19,2016
s795,20-Nov-19,1996
s796,20-Nov-19,1992
s797,8-Dec-18,2008
s798,1-Jan-20,2017
s799,18-Apr-19,2016
s800,6-May-20,2020
s801,1-Aug-18,2018
s802,12-Jan-19,2007
s803,5-Mar-19,2008
s804,1-Jan-17,2007
s805,26-Oct-18,2018
s806,24-Nov-20,2015
s807,8-Jun-20,2017
s808,5-Jan-18,2016
s809,1-Feb-18,2016
s810,5-Jun-20,2016
s811,25-Aug-17,2015
s812,15-Aug-16,2001
s813,5-Apr-18,2017
s814,15-Feb-19,2018
s815,14-Sep-18,2015
s816,19-May-17,2010
s817,1-Nov-17,2016
s818,15-Aug-16,2015
s819,21-Feb-12,2011
s820," July 1, 2017",2016
s821,20-Dec-19,2014
s822,1-Aug-18,2018
s823,19-Oct-20,1975
s824,15-Apr-16,2016
s825,15-Oct-17,2015
s826,2-Nov-19,2015
s827,7-Jun-19,2018
s828,1-Aug-17,2016
s829,15-Mar-20,2009
s830,30-Sep-18,2016
s831,20-May-20,2020
s832,31-Dec-19,2019
s833,22-Oct-20,2017
s834,8-Jun-19,2019
s835,16-Mar-18,2018
s836,6-Mar-18,2004
s837,3-Oct-18,1978
s838,2-May-20,2019
s839,15-Jan-17,2008
s840,10-Mar-17,2012
s841,25-Aug-17,2017
s842,7-Aug-20,2020
s843,8-Jun-19,2019
s844,15-Oct-16,2012
s845,1-Sep-17,2012
s846,1-Sep-17,2013
s847,17-Mar-20,2020
s848,24-Aug-18,2018
s849,22-Feb-19,2016
s850,30-Dec-20,2020
s851,23-Feb-18,2016
s852,6-Jun-19,2014
s853,31-Dec-20,2020
s854,3-Oct-20,2020
s855,18-Mar-17,2016
s856,19-Oct-18,2018
s857,24-May-20,2020
s858,25-Mar-20,2019
s859,9-Feb-20,2018
s860,16-Aug-19,2019
s861,1-Jun-17,2017
s862,12-Jan-20,2018
s863,1-Jul-16,2016
s864,3-Dec-20,2019
s865,20-Sep-19,2019
s866,6-Apr-19,2018
s867,21-Jul-19,2005
s868,20-Jun-19,2010
s869,1-Oct-17,2016
s870,15-Nov-18,2017
s871,15-Nov-20,2019
s872,10-Oct-19,2018
s873,15-Dec-17,2009
s874,28-Apr-20,2006
s875,1-Apr-17,2013
s876,15-Apr-18,2017
s877,27-Oct-17,2017
s878,14-Aug-20,2020
s879,10-Aug-18,2018
s880,1-Apr-18,2013
s881,4-Dec-20,2020
s882,15-Apr-17,2015
s883,31-Dec-19,2006
s884,10-Sep-20,2019
s885,10-Sep-20,2019
s886,19-Sep-20,2013
s887,1-Mar-20,2019
s888,29-Jan-19,2017
s889,16-Aug-18,2018
s890,10-May-19,2018
s891,25-Apr-20,2020
s892,22-Oct-17,2007
s893,31-Dec-19,2003
s894,1-Dec-17,2017
s895,15-Apr-17,2014
s896,15-Apr-17,2014
s897,15-Apr-17,2016
s898,27-Dec-17,2017
s899,8-May-19,2016
s900,1-Jan-16,1997
s901,28-Feb-18,2017
s902,1-Oct-20,1999
s903," July 26, 2019",2017
s904,15-Jan-20,2002
s905,18-Jun-19,2018
s906,30-Sep-18,2012
s907,4-Dec-20,2020
s908,5-Jun-20,2014
s909,1-Apr-18,2017
s910,2-Nov-19,2012
s911,8-Oct-20,2020
s912,18-Apr-17,2017
s913,26-Jan-19,2002
s914,20-Nov-19,2019
s915,5-Dec-14,2014
s916,10-Nov-17,2010
s917,10-Sep-19,2019
s918,31-Jan-17,2017
s919,30-Jun-18,2012
s920,31-Dec-18,1991
s921,31-Dec-18,2015
s922,31-Dec-18,1992
s923,31-Dec-18,1993
s924,31-Dec-18,1989
s925,11-May-18,2018
s926,25-Apr-18,2017
s927,1-Apr-18,2009
s928,1-Feb-19,2000
s929,28-Feb-19,2018
s930,1-Nov-19,2016
s931,15-Mar-18,2017
s932,20-Aug-20,2020
s933,15-Aug-18,2015
s934,28-Apr-20,2016
s935,21-Dec-18,2018
s936,25-Sep-19,2019
s937,26-Mar-18,2016
s938,28-Jun-18,2018
s939,11-Mar-18,2017
s940,2-Sep-17,2016
s941," May 26, 2016",2016
s942,29-Mar-19,2018
s943,25-Apr-20,2010
s944,5-Jul-20,2012
s945,19-Sep-20,2015
s946,24-Oct-20,2018
s947,12-Jul-19,2019
s948,30-Sep-20,2010
s949,30-Apr-18,2017
s950,25-Jan-19,2018
s951,19-Nov-20,2004
s952,1-Jan-19,2001
s953,12-Oct-18,2014
s954,15-Dec-20,2014
s955,17-Mar-20,2019
s956,1-Jun-16,2015
s957,5-Jun-19,2019
s958,28-Dec-18,2018
s959,15-Oct-19,2014
s960,4-Sep-18,2018
s961,2-Jul-17,2014
s962,16-Feb-19,2015
s963,9-Aug-17,2017
s964,20-Nov-19,2007
s965,1-Jul-17,2017
s966,14-Jun-19,2019
s967,11-Apr-19,2019
s968,1-May-20,2013
s969,14-Oct-20,2020
s970,15-Dec-17,2015
s971,19-May-17,2017
s972,30-Aug-20,2018
s973,10-Nov-17,2017
s974,21-Apr-20,2006
s975,15-Oct-16,2008
s976,15-Oct-16,2010
s977,11-Apr-20,2016
s978,13-Oct-17,2016
s979,15-Oct-16,2015
s980,1-Dec-18,2013
s981,15-Jan-21,2021
s982,8-Feb-17,2015
s983,27-Dec-19,2013
s984,24-Jan-18,2017
s985,14-Jul-18,2016
s986,20-May-20,2020
s987,26-Mar-20,2016
s988,5-Jul-20,2012
s989,27-Oct-20,2020
s990,10-Oct-18,2018
s991,21-Jun-19,2019
s992,26-May-17,2017
s993,13-Mar-20,2020
s994,1-Oct-19,2001
s995,12-Jul-19,2019
s996,1-Sep-20,2017
s997,26-Aug-16,2013
s998,8-Mar-19,2013
s999,6-Dec-16,2016
s1000,1-Mar-16,2016
s1001,3-Dec-18,2017
s1002,25-Feb-19,2013
s1003,1-Jan-21,1999
s1004,5-Jul-18,2010
s1005,8-Jan-21,2005
s1006,31-Dec-17,2017
s1007,30-Jun-20,2020
