show_id,year_added,release_year
s161,2019,2019
s162,2018,2018
s163,2016,2016
s164,2020,2004
s165,2019,2019
s166,2020,1971
s167,2018,1993
s168,2019,2014
s169,2020,2020
s170,2016,2015
s171,2019,2016
s172,2019,2019
s173,2017,2016
s174,2019,2018
s175,2018,2018
s176,2020,2017
s177,2018,2012
s178,2020,2020
s179,2020,2020
s180,2020,2020
s181,2017,2013
s182,2016,2015
s183,2017,2017
s184,2020,2013
s185,2019,2019
s186,2017,2015
s187,2019,2011
s188,2019,2019
s189,2017,2017
s190,2020,2019
s191,2017,2016
s192,2019,2017
s193,2019,2019
s194,2018,2018
s195,2020,2020
s196,2020,2006
s197,2019,2014
s198,2018,2018
s199,2019,2019
s200,2020,2020
s201,2020,2020
s202,2019,2007
s203,2019,2010
s204,2016,2016
s205,2019,2012
s206,2021,2016
s207,2018,2014
s208,2017,2014
s209,2018,2017
s210,2020,2020
s211,2019,1998
s212,2016,2015
s213,2017,2015
s214,2020,2020
s215,2019,2012
s216,2019,2013
s217,2019,2016
s218,2020,2011
s219,2020,2020
s220,2019,2019
s221,2013,2011
s222,2017,2016
s223,2019,2015
s224,2020,2020
s225,2019,2011
s226,2019,2019
s227,2018,2009
s228,2020,2020
s229,2019,2016
s230,2019,2009
s231,2018,2017
s232,2017,2015
s233,2011,1988
s234,2017,2017
s235,2020,2019
s236,2019,2018
s237,2019,2015
s238,2019,2019
s239,2020,1996
s240,2019,2019
s241,2020,2012
s242,2020,2016
s243,2020,2020
s244,2019,2016
s245,2020,2020
s246,2018,2018
s247,2020,2017
s248,2015,2015
s249,2018,2018
s250,2020,2008
s251,2020,2002
s252,2018,2008
s253,2018,2017
s254,2020,2020
s255,2018,2017
s256,2018,2018
s257,2019,2015
s258,2017,2016
s259,2017,2013
s260,2017,2015
s261,2018,2018
s262,2020,2019
s263,2019,2018
s264,2018,2011
s265,2018,2017
s266,2018,2009
s267,2018,2013
s268,2017,1988
s269,2018,2018
s270,2018,2008
s271,2020,2018
s272,2019,2011
s273,2017,2010
s274,2017,1993
s275,2018,2010
s276,2019,2019
s277,2020,2019
s278,2017,2015
s279,2018,2015
s280,2018,2013
s281,2019,2012
s282,2019,2017
s283,2019,2016
s284,2018,2016
s285,2017,2017
s286,2016,2012
s287,2019,2002
s288,2019,2013
s289,2019,2019
s290,2020,2020
s291,2019,2019
s292,2016,2015
s293,2017,2016
s294,2018,2009
s295,2018,2018
s296,2016,2013
s297,2019,2015
s298,2019,2007
s299,2020,2012
s300,2018,2010
s301,2020,2010
s302,2018,2017
s303,2020,2018
s304,2019,2018
s305,2020,2020
s306,2019,2019
s307,2018,2018
s308,2018,2018
s309,2011,1986
s310,2020,2014
s311,2018,2018
s312,2019,2018
s313,2017,2017
s314,2019,2013
s315,2020,2018
s316,2019,2017
s317,2015,2015
s318,2018,2018
s319,2020,2016
s320,2018,2018
s321,2020,2020
s322,2016,2013
s323,2020,2017
s324,2019,2019
s325,2020,2020
s326,2019,2019
s327,2019,2012
s328,2018,2018
s329,2019,2019
s330,2020,2020
s331,2020,2017
s332,2020,2008
s333,2018,2012
s334,2017,2014
s335,2019,2018
s336,2019,2017
s337,2017,2010
s338,2018,2018
s339,2018,2017
s340,2019,2019
s341,2017,2015
s342,2020,2020
s343,2018,2018
s344,2020,1990
s345,2018,2018
s346,2018,2009
s347,2019,2006
s348,2018,2012
s349,2020,2019
s350,2019,2018
s351,2019,2014
s352,2020,2020
s353,2020,2020
s354,2017,2015
s355,2018,2004
s356,2018,2018
s357,2020,2012
s358,2020,2020
s359,2020,2009
s360,2017,2015
s361,2016,2016
s362,2018,2017
s363,2020,2020
s364,2020,2014
s365,2020,2019
s366,2017,2015
s367,2021,2019
s368,2018,2017
s369,2020,2020
s370,2020,2017
s371,2017,2017
s372,2019,2017
s373,2020,2017
s374,2019,2019
s375,2017,2016
s376,2018,2018
s377,2018,2018
s378,2020,2019
s379,2020,2020
s380,2018,2018
s381,2020,2020
s382,2020,1979
s383,2020,1989
s384,2019,2019
s385,2020,2019
s386,2020,2015
s387,2016,2016
s388,2018,2018
s389,2018,2018
s390,2017,2017
s391,2017,2017
s392,2018,1980
s393,2019,1974
s394,2020,2020
s395,2020,2019
s396,2018,2017
s397,2020,2020
s398,2019,2019
s399,2020,2020
s400,2020,2020
s401,2018,2018
s402,2017,2016
s403,2020,2017
s404,2019,2018
s405,2018,2018
s406,2020,2019
s407,2020,2020
s408,2020,2020
s409,2020,1989
s410,2020,2020
s411,2019,2019
s412,2017,2017
s413,2017,2017
s414,2017,2016
s415,2019,2019
s416,2019,2018
s417,2019,2017
s418,2018,2006
s419,2020,2020
s420,2019,2018
s421,2020,2020
s422,2018,2017
s423,2020,2020
s424,2018,2009
s425,2019,2019
s426,2020,2017
s427,2020,2020
s428,2020,2020
s429,2020,2019
s430,2019,2016
s431,2020,2019
s432,2019,2001
s433,2019,2013
s434,2020,2014
s435,2020,2014
s436,2018,2017
s437,2019,2018
s438,2020,2020
s439,2020,2020
s440,2020,2019
s441,2020,2019
s442,2020,2016
s443,2016,2016
s444,2020,2002
s445,2017,2017
s446,2017,2015
s447,2019,1977
s448,2019,2011
s449,2018,2018
s450,2018,2018
s451,2017,2017
s452,2019,2014
s453,2020,2013
s454,2017,2016
s455,2020,2017
s456,2020,1999
s457,2018,2017
s458,2017,2017
s459,2019,2016
s460,2017,2017
s461,2019,2018
s462,2019,2018
s463,2019,2019
s464,2019,2019
s465,2019,2019
s466,2019,2014
s467,2019,1998
s468,2019,2016
s469,2020,2019
s470,2019,2018
s471,2020,2020
s472,2016,2015
s473,2020,2020
s474,2019,2000
s475,2019,2019
s476,2018,2018
s477,2019,2019
s478,2020,2019
s479,2018,2017
s480,2019,2017
s481,2017,1966
s482,2018,2015
s483,2019,2019
s484,2017,2017
s485,2017,2013
s486,2018,1986
s487,2018,1991
s488,2018,1999
s489,2018,2000
s490,2020,2019
s491,2020,1982
s492,2020,2018
s493,2019,2012
s494,2021,2017
s495,2017,2012
s496,2019,2018
s497,2020,2017
s498,2020,2020
s499,2019,2014
s500,2018,2018
s501,2020,2014
s502,2017,2017
s503,2019,2017
s504,2020,2010
s505,2019,2018
s506,2019,2018
s507,2020,2008
s508,2020,1994
s509,2018,2018
s510,2020,2020
s511,2020,2020
s512,2020,2020
s513,2020,2020
s514,2018,2015
s515,2018,2017
s516,2019,2014
s517,2019,2010
s518,2020,2001
s519,2020,2019
s520,2018,2018
s521,2020,2020
s522,2020,2009
s523,2019,2003
s524,2019,2018
s525,2017,2015
s526,2020,2020
s527,2020,2018
s528,2019,2019
s529,2020,2020
s530,2018,2018
s531,2019,2018
s532,2020,2020
s533,2018,2014
s534,2018,2018
s535,2018,2018
s536,2015,2015
s537,2020,2013
s538,2017,2013
s539,2017,2016
s540,2020,2019
s541,2019,2011
s542,2018,2018
s543,2017,2016
s544,2019,2019
s545,2019,2016
s546,2019,2019
s547,2019,2018
s548,2019,2017
s549,2019,2018
s550,2019,2018
s551,2019,2019
s552,2015,2015
s553,2018,2006
s554,2019,2018
s555,2019,2019
s556,2019,2007
s557,2018,2012
s558,2019,2017
s559,2019,2019
s560,2017,2016
s561,2021,2005
s562,2016,2016
s563,2019,2011
s564,2018,2018
s565,2017,2015
s566,2017,2016
s567,2017,2016
s568,2017,2015
s569,2018,2018
s570,2019,2019
s571,2020,2020
s572,2020,2019
s573,2017,2016
s574,2019,2018
s575,2020,2014
s576,2020,2020
s577,2017,2017
s578,2020,2020
s579,2017,2017
s580,2020,2020
s581,2018,2011
s582,2018,2011
s583,2016,2016
s584,2018,2019
s585,2020,2019
s586,2019,2019
s587,2019,2019
s588,2019,2011
s589,2020,2011
s590,2019,2019
s591,2020,2018
s592,2018,2014
s593,2020,1997
s594,2018,2018
s595,2018,2018
s596,2019,2018
s597,2018,2018
s598,2018,2017
s599,2019,2019
s600,2017,2001
s601,2016,2016
s602,2021,2020
s603,2019,2019
s604,2019,2019
s605,2016,2015
s606,2020,2020
s607,2018,2016
s608,2016,2016
s609,2018,2018
s610,2019,2003
s611,2015,2015
s612,2020,2020
s613,2019,2019
s614,2020,2012
s615,2018,2012
s616,2017,2016
s617,2019,2013
s618,2016,2014
s619,2018,2016
s620,2019,2019
s621,2016,2016
s622,2020,2020
s623,2020,2010
s624,2019,1994
s625,2017,2016
s626,2019,2002
s627,2019,1997
s628,2019,1999
s629,2017,2016
s630,2017,2014
s631,2016,2009
s632,2020,2020
s633,2020,2007
s634,2020,2018
s635,2019,2019
s636,2018,2018
s637,2018,2017
s638,2019,2018
s639,2019,2019
s640,2019,2019
s641,2020,2020
s642,2019,2015
s643,2019,2018
s644,2020,2020
s645,2019,2017
s646,2018,2018
s647,2020,2018
s648,2019,2016
s649,2015,2015
s650,2013,2013
s651,2019,2019
s652,2018,2018
s653,2018,2013
s654,2018,2017
s655,2017,2017
s656,2018,2016
s657,2017,2017
s658,2017,2017
s659,2017,2017
s660,2018,2015
s661,2017,2015
s662,2017,2015
s663,2017,2015
s664,2019,2018
s665,2018,2005
s666,2020,2018
s667,2019,2006
s668,2020,2020
s669,2020,2020
s670,2018,2018
s671,2019,2019
s672,2020,2018
s673,2020,2020
s674,2018,2016
s675,2017,2016
s676,2019,2019
s677,2018,2018
s678,2016,2016
s679,2019,2019
s680,2019,2015
s681,2019,2018
s682,2017,2014
s683,2019,2019
s684,2019,2019
s685,2018,2015
s686,2019,2019
s687,2020,2020
s688,2019,1995
s689,2019,2003
s690,2018,2017
s691,2018,2014
s692,2018,2017
s693,2021,2014
s694,2019,2014
s695,2018,2018
s696,2018,2017
s697,2017,2016
s698,2018,2018
s699,2017,2013
s700,2018,2006
s701,2019,2019
s702,2020,2019
s703,2020,2019
s704,2020,2020
s705,2020,2020
s706,2020,2018
s707,2020,2019
s708,2017,2016
s709,2018,1995
s710,2018,2001
s711,2018,2004
s712,2018,2017
s713,2017,2015
s714,2019,2017
s715,2020,2020
s716,2019,2017
s717,2016,2015
s718,2017,1978
s719,2018,2010
s720,2019,2015
s721,2018,2016
s722,2019,2019
s723,2018,2002
s724,2019,2018
s725,2019,2018
s726,2019,2019
s727,2019,2019
s728,2018,2009
s729,2018,2015
s730,2019,2009
s731,2017,2016
s732,2020,2020
s733,2017,2017
s734,2017,2013
s735,2017,2017
s736,2019,2018
s737,2020,2020
s738,2017,2010
s739,2017,2015
s740,2017,2015
s741,2017,2012
s742,2020,2020
s743,2017,2016
s744,2017,2010
s745,2017,2011
s746,2017,2016
s747,2017,2012
s748,2017,2017
s749,2017,2017
s750,2019,2016
s751,2019,2019
s752,2018,2017
s753,2018,2015
s754,2018,2012
s755,2018,2013
s756,2016,2016
s757,2018,1995
s758,2018,1998
s759,2020,1992
s760,2019,2019
s761,2017,2016
s762,2018,2017
s763,2018,2016
s764,2019,2018
s765,2020,2016
s766,2018,2018
s767,2015,2015
s768,2018,2018
s769,2016,2016
s770,2018,2018
s771,2019,1972
s772,2020,2019
s773,2019,2019
s774,2019,1982
s775,2020,2011
s776,2017,2015
s777,2019,2016
s778,2016,2015
s779,2016,2015
s780,2018,2018
s781,2017,2013
s782,2018,1997
s783,2017,2013
s784,2019,2010
s785,2020,2019
s786,2015,2015
s787,2019,2018
s788,2017,2017
s789,2017,2015
s790,2019,2019
s791,2016,2016
s792,2016,2016
s793,2019,2015
s794,2019,2016
s795,2019,1996
s796,2019,1992
s797,2018,2008
s798,2020,2017
s799,2019,2016
s800,2020,2020
s801,2018,2018
s802,2019,2007
s803,2019,2008
s804,2017,2007
s805,2018,2018
s806,2020,2015
s807,2020,2017
s808,2018,2016
s809,2018,2016
s810,2020,2016
s811,2017,2015
s812,2016,2001
s813,2018,2017
s814,2019,2018
s815,2018,2015
s816,2017,2010
s817,2017,2016
s818,2016,2015
s819,2012,2011
s820,2017,2016
s821,2019,2014
s822,2018,2018
s823,2020,1975
s824,2016,2016
s825,2017,2015
s826,2019,2015
s827,2019,2018
s828,2017,2016
s829,2020,2009
s830,2018,2016
s831,2020,2020
s832,2019,2019
s833,2020,2017
s834,2019,2019
s835,2018,2018
s836,2018,2004
s837,2018,1978
s838,2020,2019
s839,2017,2008
s840,2017,2012
s841,2017,2017
s842,2020,2020
s843,2019,2019
s844,2016,2012
s845,2017,2012
s846,2017,2013
s847,2020,2020
s848,2018,2018
s849,2019,2016
s850,2020,2020
s851,2018,2016
s852,2019,2014
s853,2020,2020
s854,2020,2020
s855,2017,2016
s856,2018,2018
s857,2020,2020
s858,2020,2019
s859,2020,2018
s860,2019,2019
s861,2017,2017
s862,2020,2018
s863,2016,2016
s864,2020,2019
s865,2019,2019
s866,2019,2018
s867,2019,2005
s868,2019,2010
s869,2017,2016
s870,2018,2017
s871,2020,2019
s872,2019,2018
s873,2017,2009
s874,2020,2006
s875,2017,2013
s876,2018,2017
s877,2017,2017
s878,2020,2020
s879,2018,2018
s880,2018,2013
s881,2020,2020
s882,2017,2015
s883,2019,2006
s884,2020,2019
s885,2020,2019
s886,2020,2013
s887,2020,2019
s888,2019,2017
s889,2018,2018
s890,2019,2018
s891,2020,2020
s892,2017,2007
s893,2019,2003
s894,2017,2017
s895,2017,2014
s896,2017,2014
s897,2017,2016
s898,2017,2017
s899,2019,2016
s900,2016,1997
s901,2018,2017
s902,2020,1999
s903,2019,2017
s904,2020,2002
s905,2019,2018
s906,2018,2012
s907,2020,2020
s908,2020,2014
s909,2018,2017
s910,2019,2012
s911,2020,2020
s912,2017,2017
s913,2019,2002
s914,2019,2019
s915,2014,2014
s916,2017,2010
s917,2019,2019
s918,2017,2017
s919,2018,2012
s920,2018,1991
s921,2018,2015
s922,2018,1992
s923,2018,1993
s924,2018,1989
s925,2018,2018
s926,2018,2017
s927,2018,2009
s928,2019,2000
s929,2019,2018
s930,2019,2016
s931,2018,2017
s932,2020,2020
s933,2018,2015
s934,2020,2016
s935,2018,2018
s936,2019,2019
s937,2018,2016
s938,2018,2018
s939,2018,2017
s940,2017,2016
s941,2016,2016
s942,2019,2018
s943,2020,2010
s944,2020,2012
s945,2020,2015
s946,2020,2018
s947,2019,2019
s948,2020,2010
s949,2018,2017
s950,2019,2018
s951,2020,2004
s952,2019,2001
s953,2018,2014
s954,2020,2014
s955,2020,2019
s956,2016,2015
s957,2019,2019
s958,2018,2018
s959,2019,2014
s960,2018,2018
s961,2017,2014
s962,2019,2015
s963,2017,2017
s964,2019,2007
s965,2017,2017
s966,2019,2019
s967,2019,2019
s968,2020,2013
s969,2020,2020
s970,2017,2015
s971,2017,2017
s972,2020,2018
s973,2017,2017
s974,2020,2006
s975,2016,2008
s976,2016,2010
s977,2020,2016
s978,2017,2016
s979,2016,2015
s980,2018,2013
s981,2021,2021
s982,2017,2015
s983,2019,2013
s984,2018,2017
s985,2018,2016
s986,2020,2020
s987,2020,2016
s988,2020,2012
s989,2020,2020
s990,2018,2018
s991,2019,2019
s992,2017,2017
s993,2020,2020
s994,2019,2001
s995,2019,2019
s996,2020,2017
s997,2016,2013
s998,2019,2013
s999,2016,2016
s1000,2016,2016
s1001,2018,2017
s1002,2019,2013
s1003,2021,1999
s1004,2018,2010
s1005,2021,2005
s1006,2017,2017
s1007,2020,2020
s1008,2019,2018
s1009,2016,2016
s1010,2018,2013
s1011,2019,2007
s1012,2019,2018
s1013,2016,1991
s1014,2015,2015
s1015,2018,2017
s1016,2020,2020
s1017,2019,1973
s1018,2020,2014
s1019,2018,2018
s1020,2018,2018
s1021,2017,2016
s1022,2018,2018
s1023,2020,2011
s1024,2019,2018
s1025,2019,2018
s1026,2019,2020
s1027,2014,2014
s1028,2017,2017
s1029,2019,2019
s1030,2019,2001
s1031,2018,2008
s1032,2017,2017
s1033,2019,2018
s1034,2020,2013
s1035,2016,2016
s1036,2018,2017
s1037,2016,2015
s1038,2017,2017
s1039,2017,2006
s1040,2019,2016
s1041,2019,2019
s1042,2021,1967
s1043,2019,2019
s1044,2020,2019
s1045,2020,2020
s1046,2018,2003
s1047,2019,2016
s1048,2020,2018
s1049,2017,2017
s1050,2018,2017
s1051,2020,2019
s1052,2020,2012
s1053,2018,2018
s1054,2020,2019
s1055,2019,2014
s1056,2019,2016
s1057,2020,2018
s1058,2017,2017
s1059,2017,2016
s1060,2020,2013
s1061,2020,2005
s1062,2019,2013
s1063,2017,2017
s1064,2020,2017
s1065,2017,2011
s1066,2020,2008
s1067,2017,2013
s1068,2019,2016
s1069,2017,2016
s1070,2019,2016
s1071,2020,2009
s1072,2017,2017
s1073,2016,2016
s1074,2019,2016
s1075,2018,2016
s1076,2018,2018
s1077,2019,2018
s1078,2020,2007
s1079,2020,2020
s1080,2018,2013
s1081,2017,2016
s1082,2020,2018
s1083,2020,2014
s1084,2020,2020
s1085,2020,2018
s1086,2020,2020
s1087,2020,2010
s1088,2018,2014
s1089,2019,2019
s1090,2013,2013
s1091,2017,2015
s1092,2020,2014
s1093,2017,2010
s1094,2018,2018
s1095,2019,2019
s1096,2020,2020
s1097,2017,2017
s1098,2018,2005
s1099,2019,2014
s1100,2020,2019
s1101,2020,2020
s1102,2017,2016
s1103,2017,2017
s1104,2017,2017
s1105,2018,2018
s1106,2019,2016
s1107,2017,2017
s1108,2019,2015
s1109,2017,2017
s1110,2019,2019
s1111,2016,2015
s1112,2018,2009
s1113,2019,2019
s1114,2019,2019
s1115,2017,2006
s1116,2019,2019
s1117,2018,2017
s1118,2020,2015
s1119,2016,2016
s1120,2017,2016
s1121,2017,2017
s1122,2017,2017
s1123,2018,2018
s1124,2019,2018
s1125,2018,2013
s1126,2020,2020
s1127,2019,2012
s1128,2017,2017
s1129,2017,2017
s1130,2020,2016
s1131,2019,2018
s1132,2018,2016
s1133,2020,2020
s1134,2020,2018
s1135,2018,2017
s1136,2020,2020
s1137,2019,2018
s1138,2020,2012
s1139,2018,2018
s1140,2020,2020
s1141,2018,2017
s1142,2019,2010
s1143,2017,2017
s1144,2019,2017
s1145,2017,2005
s1146,2019,2018
s1147,2019,2019
s1148,2017,2017
s1149,2019,2012
s1150,2017,2017
s1151,2019,2019
s1152,2017,2016
s1153,2019,1960
s1154,2018,2018
s1155,2020,2012
s1156,2020,2015
s1157,2020,1981
s1158,2019,2017
s1159,2020,2019
s1160,2019,2008
s1161,2017,2016
s1162,2019,2016
s1163,2018,2017
s1164,2020,2019
s1165,2020,2020
s1166,2020,2020
s1167,2018,2014
s1168,2017,2016
s1169,2019,2009
s1170,2020,1958
s1171,2019,2018
s1172,2017,2015
s1173,2018,2018
s1174,2018,2018
s1175,2020,2020
s1176,2018,2017
s1177,2020,2019
s1178,2018,2017
s1179,2020,2020
s1180,2016,2016
s1181,2019,2018
s1182,2020,2020
s1183,2019,2019
s1184,2018,2018
s1185,2018,2018
s1186,2018,2018
s1187,2017,2014
s1188,2017,2016
s1189,2018,2017
s1190,2019,2014
s1191,2017,2014
s1192,2017,2012
s1193,2020,2020
s1194,2020,2018
s1195,2021,1998
s1196,2019,2017
s1197,2020,2007
s1198,2018,2018
s1199,2019,2019
s1200,2019,2017
s1201,2019,1992
s1202,2016,2016
s1203,2019,2019
s1204,2020,2020
s1205,2020,2019
s1206,2018,2017
s1207,2020,2020
s1208,2020,2020
s1209,2016,2016
s1210,2020,2020
s1211,2018,2017
s1212,2018,2016
s1213,2020,1999
s1214,2016,2016
s1215,2019,2012
s1216,2019,2018
s1217,2019,2008
s1218,2020,2020
s1219,2020,2019
s1220,2016,2016
s1221,2018,2018
s1222,2020,2020
s1223,2021,2021
s1224,2020,2020
s1225,2020,2015
s1226,2019,2019
s1227,2019,1976
s1228,2017,2016
s1229,2019,2009
s1230,2012,2012
s1231,2017,2016
s1232,2016,2015
s1233,2021,2009
s1234,2019,2015
s1235,2020,2006
s1236,2018,1992
s1237,2018,1992
s1238,2017,2017
s1239,2020,2018
s1240,2018,2015
s1241,2020,2020
s1242,2019,1958
s1243,2021,2002
s1244,2018,2018
s1245,2016,2015
s1246,2017,2016
s1247,2018,2017
s1248,2019,2010
s1249,2019,2018
s1250,2016,2015
s1251,2017,2016
s1252,2016,2016
s1253,2019,2017
s1254,2020,2018
s1255,2017,2012
s1256,2020,2018
s1257,2020,2000
s1258,2017,1996
s1259,2018,2014
s1260,2017,1976
s1261,2018,2014
s1262,2018,2010
s1263,2019,2000
s1264,2018,2017
s1265,2020,2020
s1266,2018,2003
s1267,2020,2020
s1268,2017,1992
s1269,2019,2019
s1270,2019,2004
s1271,2019,2018
s1272,2018,2010
s1273,2017,2010
s1274,2020,2018
s1275,2019,2016
s1276,2018,2017
s1277,2019,2015
s1278,2018,2017
s1279,2019,2019
s1280,2020,2005
s1281,2019,2000
s1282,2019,2003
s1283,2019,2019
s1284,2019,1973
s1285,2020,2019
s1286,2021,2021
s1287,2020,2013
s1288,2017,2013
s1289,2020,1997
s1290,2016,2016
s1291,2017,2017
s1292,2017,2016
s1293,2018,2017
s1294,2017,2016
s1295,2016,2015
s1296,2017,2015
s1297,2017,2016
s1298,2020,2020
s1299,2020,2020
s1300,2017,2016
s1301,2017,1992
s1302,2019,2016
s1303,2020,2014
s1304,2017,2017
s1305,2019,2019
s1306,2020,2020
s1307,2016,2016
s1308,2017,2017
s1309,2016,2016
s1310,2014,2014
s1311,2014,2014
s1312,2018,2013
s1313,2018,2012
s1314,2017,2015
s1315,2016,1999
s1316,2017,2017
s1317,2019,2019
s1318,2020,2012
s1319,2019,2018
s1320,2019,2018
s1321,2019,2018
s1322,2020,2019
s1323,2019,2019
s1324,2019,2017
s1325,2018,2017
s1326,2016,2005
s1327,2018,2018
s1328,2020,2020
s1329,2020,2020
s1330,2019,2018
s1331,2019,2019
s1332,2019,1988
s1333,2020,2020
s1334,2016,1994
s1335,2020,2019
s1336,2018,2017
s1337,2016,1994
s1338,2018,2011
s1339,2020,2020
s1340,2018,2017
s1341,2017,2017
s1342,2019,2019
s1343,2020,2020
s1344,2018,2012
s1345,2020,1968
s1346,2020,2009
s1347,2019,2019
s1348,2017,2017
s1349,2020,2020
s1350,2019,2019
s1351,2019,2019
s1352,2017,2017
s1353,2015,2015
s1354,2017,2017
s1355,2020,2020
s1356,2021,2021
s1357,2018,2018
s1358,2015,2015
s1359,2019,2014
s1360,2018,2018
s1361,2017,2017
s1362,2020,2016
s1363,2020,2019
s1364,2020,2020
s1365,2019,2012
s1366,2019,2017
s1367,2019,2015
s1368,2017,2017
s1369,2019,2018
s1370,2018,2017
s1371,2020,2018
s1372,2018,2018
s1373,2019,2004
s1374,2019,2018
s1375,2020,2016
s1376,2018,2006
s1377,2019,2019
s1378,2020,2019
s1379,2019,2019
s1380,2019,2019
s1381,2019,2019
s1382,2019,2019
s1383,2017,2017
s1384,2018,2006
s1385,2019,2017
s1386,2019,1975
s1387,2018,2018
s1388,2018,2017
s1389,2020,2011
s1390,2019,2016
s1391,2019,2016
s1392,2019,2015
s1393,2019,2015
s1394,2019,2016
s1395,2015,2015
s1396,2020,2020
s1397,2018,2009
s1398,2020,2020
s1399,2019,2018
s1400,2017,2016
s1401,2020,2002
s1402,2018,2013
s1403,2018,2018
s1404,2017,2016
s1405,2018,2018
s1406,2017,2016
s1407,2019,2008
s1408,2019,2019
s1409,2019,2010
s1410,2018,1993
s1411,2020,2020
s1412,2018,2018
s1413,2017,2012
s1414,2020,2020
s1415,2019,1973
s1416,2020,2017
s1417,2020,2006
s1418,2017,2017
s1419,2017,2017
s1420,2019,2017
s1421,2019,2019
s1422,2020,2018
s1423,2017,2016
s1424,2017,2013
s1425,2017,2012
s1426,2017,2014
s1427,2021,2009
s1428,2020,2013
s1429,2020,2008
s1430,2018,2018
s1431,2018,2018
s1432,2019,2015
s1433,2018,2016
s1434,2019,2017
s1435,2018,2016
s1436,2018,2016
s1437,2018,2016
s1438,2019,2019
s1439,2020,2005
s1440,2018,2018
s1441,2021,2021
s1442,2016,2005
s1443,2018,2018
s1444,2018,2018
s1445,2020,2020
s1446,2019,2015
s1447,2020,2019
s1448,2019,2008
s1449,2020,2007
s1450,2019,2007
s1451,2020,2020
s1452,2018,2017
s1453,2017,2017
s1454,2017,2017
s1455,2019,2017
s1456,2020,1999
s1457,2020,2019
s1458,2020,2013
s1459,2019,2019
s1460,2016,2016
s1461,2017,2015
s1462,2017,2016
s1463,2018,2018
s1464,2019,2018
s1465,2018,2015
s1466,2019,2018
s1467,2016,2012
s1468,2018,2008
s1469,2019,2016
s1470,2018,2018
s1471,2019,2019
s1472,2019,2019
s1473,2016,2016
s1474,2018,2018
s1475,2017,2017
s1476,2020,2015
s1477,2019,2019
s1478,2018,2002
s1479,2018,2016
s1480,2018,2018
s1481,2017,2016
s1482,2018,2013
s1483,2018,2014
s1484,2020,2020
s1485,2018,2017
s1486,2019,2014
s1487,2019,2014
s1488,2016,2015
s1489,2016,2016
s1490,2019,2008
s1491,2020,2020
s1492,2019,2019
s1493,2019,2014
s1494,2020,2017
s1495,2016,2016
s1496,2020,2020
s1497,2018,2018
